PH,NH,DH,MSH,PNH,RI,MPH,CT,NT,MSL,CL,CTR,NTR,MCT,MCL,Kurt,Skew,Area,APN,RPA,Aos,Aso,RSD,VPo,PW90,PW75,PW66,PW50,PW33,PW25,PW10,K,PTT,MWS,PNL,NI,AI,SI,P2ocd,AC,DC,mNPV,Ams,PDA,SFm,AFm,AFe,VFD,Ha,Hb,Hc,Hd,He,Hba,Hca,Hda,Hea,AGI,,
2.854,1.525,1.212,1.396,0.532,0.422,0.489,0.233,0.384,0.117,0.689,0.34,0.559,0.501,0.17,-1.113,0.203,65.696,28.409,0.433,22.769,42.927,0.532,22.769,14.357,23.303,27.652,34.725,42.116,45.829,53.833,0.477,0.232,0.061,0.151,1.283,0.578,758.6206897,0.455,2.878,0.477,0.857,0.099,0.035,0.854,2.854,-2.833,0.145,0.588,-0.635,0.282,-0.223,0.01,-1.086,0.494,-0.395,0.015,-1.2,,
3.602,2.191,1.888,1.789,0.608,0.524,0.497,0.213,0.339,0.11,0.787,0.271,0.431,0.516,0.14,-0.953,0.303,71.263,35.207,0.494,20.366,50.897,0.4,20.366,13.25,21.656,25.823,32.834,40.828,45.53,68.291,0.453,0.2,0.084,0.126,0.758,0.476,815,0.574,3.634,0.453,0.889,0.14,0.039,1.273,3.602,-3.598,0.178,0.854,-0.997,0.426,-0.229,0.178,-1.168,0.501,-0.269,0.21,-1.61,,
3.22,1.99,1.58,1.613,0.618,0.49,0.501,0.227,0.357,0.119,0.835,0.272,0.428,0.525,0.143,-1.097,0.49,68.383,37.392,0.547,21.658,46.725,0.464,21.658,14.74,24.156,28.874,36.932,46.412,52.136,68.218,0.41,0.202,0.071,0.13,0.747,0.51,841.5841584,0.608,3.278,0.41,0.889,0.117,0.036,0.985,3.22,-3.234,0.168,0.655,-0.789,0.284,-0.178,0.266,-1.205,0.434,-0.271,0.406,-1.773,,
2.38,1.83,1.577,1.164,0.769,0.662,0.489,0.245,0.361,0.122,0.83,0.295,0.436,0.5,0.147,-1.321,0.172,78.786,24.401,0.31,23.934,54.851,0.437,23.934,16.371,27.245,32.992,43.753,57.457,63.614,73.539,0.475,0.175,0.049,0.117,0.772,0.338,977.1428571,0.585,2.405,0.475,0.835,0.081,0.034,0.667,2.38,-2.368,0.026,0.449,-0.468,0.091,-0.08,0.123,-1.045,0.204,-0.179,0.276,-1.346,,
3.507,0.952,1.903,1.903,0.271,0.543,0.543,0.408,0.551,0.317,0.789,0.518,0.699,0.776,0.402,-0.349,1.077,48.438,39.457,0.814,22.947,25.491,0.9,22.947,12.977,21.074,25.003,31.367,37.88,41.013,47.302,0.307,-0.091,0.043,0.143,2.318,0.457,1890.10989,0.38,3.53,0.307,0.92,0.136,0.039,0.429,3.507,-3.513,0.837,0.811,-0.319,0.656,-1.2,0,-0.393,0.81,-1.481,0,0.278,,
3.06,1.559,1.465,1.615,0.509,0.478,0.528,0.383,0.528,0.273,0.842,0.451,0.627,0.694,0.317,-0.969,0.639,60.066,40.378,0.672,23.866,36.2,0.66,23.866,15.574,25.428,30.291,38.364,47.06,51.52,61.496,0.363,-0.019,0.042,0.145,1.735,0.522,931.7894737,0.459,3.076,0.363,0.894,0.103,0.034,0.44,3.06,-3.06,0.171,0.508,-0.294,0.253,-0.534,0.225,-0.57,0.499,-1.06,0.444,-0.453,,
2.381,1.014,0.834,1.234,0.429,0.35,0.518,0.29,0.429,0.191,0.788,0.365,0.546,0.628,0.236,-0.772,0.765,54.937,28.773,0.528,21.088,33.849,0.627,21.088,13.836,22.531,26.788,33.769,41.115,44.783,52.727,0.354,0.106,0.044,0.139,1.284,0.65,1622.641509,0.498,2.425,0.354,0.872,0.09,0.038,0.571,2.381,-2.389,0.201,0.503,-0.502,0.313,-0.325,0.195,-1.008,0.621,-0.634,0.388,-1.384,,
3.04,1.891,1.489,1.511,0.621,0.489,0.497,0.222,0.35,0.115,0.748,0.298,0.469,0.517,0.155,-1.053,0.294,69.088,30.56,0.443,21.418,47.67,0.452,21.418,13.924,22.79,27.205,34.678,43.253,48.118,59.365,0.462,0.208,0.069,0.128,0.899,0.511,817.3076923,0.525,3.092,0.462,0.87,0.114,0.037,1.003,3.04,-3.011,0.116,0.668,-0.775,0.266,-0.118,0.087,-1.184,0.416,-0.189,0.11,-1.522,,
2.655,0.843,0.901,1.283,0.296,0.319,0.484,0.162,0.287,0.081,0.53,0.306,0.542,0.5,0.153,-0.748,0.443,49.131,17.685,0.358,16.394,32.737,0.509,16.394,9.966,16.098,19.026,23.67,28.267,30.408,34.54,0.463,0.194,0.081,0.125,1.185,0.681,902.0618557,0.368,2.803,0.463,0.857,0.13,0.049,1.604,2.655,-2.629,0.905,1.105,-1.239,0.841,-0.687,0,-1.133,0.774,-0.629,0,-1.278,,
2.845,0.936,1.366,1.518,0.328,0.48,0.534,0.378,0.523,0.284,0.834,0.45,0.628,0.731,0.334,-0.311,1.005,55.029,32.83,0.599,23.033,31.996,0.722,23.033,13.315,21.636,25.676,32.233,38.983,42.26,48.969,0.335,-0.036,0.04,0.145,1.751,0.52,894.4444444,0.455,2.89,0.335,0.896,0.109,0.038,0.458,2.845,-2.849,0.445,0.64,-0.394,0.518,-0.794,0.187,-0.604,0.811,-1.252,0.293,-0.455,,
